Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
P30101,PDIA3_HUMAN,PDIA3,Protein disulfide-isomerase A3,3461500,42754600,16893100,142463000,22292600,175617000,23788700,136224000,15139000,121408000,28660800,180367000,6405930,39611900,30100700,213517000,26627400,241731000,23475500,188252000,23475800,123309000,36709500,158919000,10556100,106553000,57750600,256194000,42650000,233184000,16379400,100181000,4476690,57958600,2773520,18226200,14270600,116500000,37522100,211581000
P30153,2AAA_HUMAN,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,93436100,207271000,157219000,250267000,221287000,209883000,116218000,217353000,187453000,198107000,232601000,229590000,85434400,194446000,249249000,269571000,252832000,309298000,160188000,223536000,153579000,219920000,144557000,322631000,243542000,329155000,336818000,270623000,298121000,333857000,151815000,321481000,95418000,239504000,55713100,147480000,122797000,232599000,391506000,254910000
P30154,2AAB_HUMAN,PPP2R1B,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7471.78,NA,NA,NA,NA,NA,NA,49861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P30260,CDC27_HUMAN,CDC27,Cell division cycle protein 27 homolog,NA,54509.7,NA,NA,45844.2,65642.1,NA,55167.1,33319.9,57408.6,NA,35852.4,NA,56744.5,15855.4,125016,NA,51699.3,50850.9,59246.3,NA,73192.2,NA,43947.3,NA,NA,25878,50227.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44891.4,76873.5,90724.6
P30273,FCERG_HUMAN,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,NA,25019900,1253040,9647790,2586750,29808200,1171660,15301800,NA,13706400,NA,14649500,1310230,9192370,NA,12625000,NA,11945000,2692570,12752900,2020980,23041800,NA,6489940,2332620,19046200,NA,14840000,NA,36141100,2186190,17517300,1747680,16976800,NA,7526640,NA,11198400,1738280,31587500
P30405,PPIF_HUMAN,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",9003310,21951300,28557100,50812700,19015500,41167500,12794100,26920100,15833300,30931300,17329000,40252800,12407600,22045600,13358900,26692500,15096900,28964000,19997300,29827000,10955900,18313200,18244700,32642300,8035560,28726300,12753200,28496200,10425300,24059400,15129800,34970300,7940240,30484200,7962660,19323500,13054600,37420400,18276500,31605500
P30419,NMT1_HUMAN,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,16172400,18163300,17989400,16769400,16293900,12302000,16121800,14034600,14385500,10589200,13871000,10914200,14084900,15259600,12301900,10445900,15159100,12173200,14346500,10936000,15456700,13793300,17307200,15251800,14166000,12328200,12740200,10672300,13743300,14004700,12583200,12847300,13208900,16198700,17349000,17545700,14491300,16209800,12139000,10498600
P30519,HMOX2_HUMAN,HMOX2,Heme oxygenase 2,NA,6472740,NA,10343500,7241640,26259600,4233290,10500600,4800580,17127400,8313290,32023300,NA,9681490,8281800,30070500,11951300,33089600,6409500,24542600,5033490,19716900,NA,7868610,5249960,17584500,14434400,44354300,14177800,25849600,3115570,9050040,NA,8025060,NA,NA,2804070,8118800,30237800,70151000
P30520,PURA2_HUMAN,ADSS2,Adenylosuccinate synthetase isozyme 2,18869700,14445600,15876700,14017100,20580600,15203500,11777700,11543800,18016500,12568500,16502000,12538700,6347590,8198860,17239200,12114100,5382120,7004140,17503300,15001900,12737600,10316700,20844400,16225500,14083400,13058600,14715700,10983100,14799900,8414190,17182000,13896900,7146290,9099460,7696250,8882480,8641810,9329890,16705700,10626500
P30531,SC6A1_HUMAN,SLC6A1,Sodium- and chloride-dependent GABA transporter 1,611205,41900000,781677,22099800,434623,25986400,710962,26455100,848897,35875700,549077,30735800,668238,35203300,624885,25310700,658502,21612600,415898,15723400,1356060,33201500,NA,12848900,662621,22172400,NA,21544500,437513,NA,NA,11521800,536356,32527900,594374,13951400,878043,22588900,443991,24076400
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,531486,7460150,803803,10179200,1107730,13255600,1260340,11262300,978433,10781900,1607300,12263900,358140,9913350,1806630,19876900,1429700,21166700,1164670,8437530,1313010,7643810,1076180,10626700,1007940,13714400,2413170,22602600,2416600,8729400,1869840,12053700,NA,12963000,1196390,5626060,1750700,13406600,5033740,32730500
P30536,TSPO_HUMAN,TSPO,Translocator protein,NA,3682230,NA,3974290,NA,5779630,NA,5950380,NA,5697250,899966,8764180,NA,NA,NA,4930640,NA,4460690,NA,6877390,NA,4889230,NA,NA,NA,4618900,NA,NA,NA,NA,NA,NA,NA,4637760,NA,NA,NA,3347140,NA,4595480
P30542,AA1R_HUMAN,ADORA1,Adenosine receptor A1,NA,2391600,NA,2151590,NA,2804260,NA,1310800,NA,2386410,NA,1970940,NA,3594560,NA,2878660,NA,3374060,NA,2993080,NA,3924130,NA,1558830,NA,3154090,NA,4464410,NA,5925660,NA,2680500,NA,5558980,NA,1516490,NA,2852960,NA,5413550
P30566,PUR8_HUMAN,ADSL,Adenylosuccinate lyase,7095380,5221270,7197330,5571390,6131360,4166630,8264040,4832870,6153380,3740790,6364550,3355110,10594900,5527160,5684720,3813190,7153200,4464420,6032640,4585730,9899040,5406500,9233640,3498660,8506220,4730140,5514340,2942690,6975430,6099710,7122600,4729170,11468400,8311080,11248100,5708990,9902680,5569120,8488570,4495100
P30613,KPYR_HUMAN,PKLR,Pyruvate kinase PKLR,216157,164468,292680,181993,124242,94087.2,291599,123490,186226,50147.3,351592,150914,254001,NA,82222.6,NA,184827,NA,148771,105328,345472,142387,198284,107181,83347.5,NA,49186.1,NA,265010,NA,131296,NA,327159,NA,243757,NA,265649,106721,204047,NA
P30622,CLIP1_HUMAN,CLIP1,CAP-Gly domain-containing linker protein 1,6674720,6743560,8359540,8553470,7198990,6736640,7184930,7442320,8505970,6593810,6727290,6332120,7563590,6812540,7023890,6423710,7166790,6193140,6979880,7108790,8008540,7656430,7229190,8382860,7196220,6501330,10476200,7281490,8445580,7629020,9171610,7605180,7544790,6723890,6103390,5127160,6573640,7681250,7548190,6628630
P30626,SORCN_HUMAN,SRI,Sorcin,106794000,237476000,93882800,304880000,62875900,235295000,95420600,253335000,114003000,256855000,75984500,214414000,128143000,257505000,105912000,153843000,133282000,206207000,83033200,239879000,100674000,237384000,135166000,213429000,159902000,185974000,103182000,120309000,119952000,232653000,133892000,188959000,96134800,287447000,165196000,294594000,177903000,268081000,146246000,155701000
P30679,GNA15_HUMAN,GNA15,Guanine nucleotide-binding protein subunit alpha-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185700,509693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956376
P30711,GSTT1_HUMAN,GSTT1,Glutathione S-transferase theta-1,44758700,27135100,40145400,27501700,35473500,21492800,27015700,19846300,58602800,30971200,35798500,19930300,35503600,30677100,48184900,30556100,20537800,13562700,27768200,18776700,51093600,33031000,40496100,24271000,34552200,21910700,16169900,10959800,40084400,19220000,34739100,27254800,19562700,16407400,19888600,14396200,39837800,28423000,23791500,14947900
P30740,ILEU_HUMAN,SERPINB1,Leukocyte elastase inhibitor,32757900,29846700,37086500,26267500,30232200,19922100,40331500,27037500,43745000,24758800,35538300,20066000,33384000,24899400,33805500,24590600,26659700,17251800,49519600,28195500,45938200,28645400,42708400,23905500,25889200,18101000,52046000,14040500,30578000,20216700,36161100,29373200,34027800,28005700,34315400,28228100,39167200,34341200,24604200,13702800
P30825,CTR1_HUMAN,SLC7A1,High affinity cationic amino acid transporter 1,NA,625341,NA,NA,NA,843087,NA,412898,NA,793412,NA,668963,NA,NA,NA,NA,NA,NA,NA,274402,NA,338486,NA,NA,NA,536575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649680
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",3968740,20379000,2673940,10804900,3188930,12681400,6038730,15647100,5758820,14696500,3336940,11394900,2661610,13324500,3671170,15533300,2439260,9057080,2867400,8450490,7298600,19557000,3487170,7893080,2873050,17298200,1163390,7122510,2204460,6615230,2643480,9735740,2876180,19216300,3972050,15586600,4745940,21252100,4343450,10450700
P30838,AL3A1_HUMAN,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",2572670,NA,11384500,NA,3734390,NA,4347720,NA,28870700,14758200,NA,NA,NA,NA,NA,NA,NA,NA,51748000,21916100,4403420,NA,NA,NA,NA,NA,38483500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P30874,SSR2_HUMAN,SSTR2,Somatostatin receptor type 2,NA,1547460,NA,NA,NA,NA,NA,419888,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211670,NA,NA,NA,1025600,NA,NA,NA,1558400,NA,948258,NA,NA,NA,1311650,NA,965034,NA,NA,NA,NA,NA,NA
P30876,RPB2_HUMAN,POLR2B,DNA-directed RNA polymerase II subunit RPB2,NA,473038,NA,564062,105171,242561,NA,643750,143178,504587,NA,440817,NA,388586,NA,773650,NA,314193,111367,483162,NA,462662,NA,547687,NA,269507,237213,398683,110815,258670,NA,538003,120055,179863,NA,347276,88511.2,345411,145337,525258
P30990,NEUT_HUMAN,NTS,Neurotensin/neuromedin N,NA,NA,NA,NA,NA,3232510,829808,2213240,NA,3511010,NA,4509610,NA,NA,NA,NA,NA,NA,NA,744899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31025,LCN1_HUMAN,LCN1,Lipocalin-1,315237,964460,1024120,1568420,306304,404741,428477,NA,1580750,1285770,11776500,390217,1660840,4524190,16421800,1721480,1109160,6940210,1370990,3269640,879073,2807390,1546600,422322,135330,8932160,2026680,680893,1209100,NA,NA,6495420,1429560,1656570,112244000,984732,1491860,6619950,256432,3213040
P31040,SDHA_HUMAN,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",11772200,89219400,15624000,81463400,8018730,73234700,10609600,51612600,10149100,65823700,8574350,73479500,8681590,161113000,7808530,79571900,10648100,91553300,9207420,87283400,10984600,90445600,11713700,41944700,11661300,116266000,8975520,75389600,9982240,35153500,10804000,49262700,8377200,114642000,15512900,67192700,13070400,65146500,14791300,80513900
P31146,COR1A_HUMAN,CORO1A,Coronin-1A,25139500,27753600,68223700,48490800,67624600,57125200,71733100,63299600,69579700,51871400,89492700,69398100,15853200,22413100,94468200,66201000,151699000,96707600,76762600,63383400,108009000,107993000,120718000,85360700,108011000,117534000,126258000,97802800,130266000,143731000,110902000,60610400,20994600,27376500,5232510,8347090,67348400,56452200,143076000,80810400
P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha,886134000,612238000,1079640000,597517000,770858000,486864000,776095000,508138000,875671000,430501000,793785000,507742000,1378880000,702036000,854413000,500673000,1042660000,508521000,715927000,814553000,852593000,620224000,1205800000,692175000,856653000,893032000,628076000,422627000,631459000,427302000,1136310000,838703000,889500000,819805000,1106300000,756699000,1008570000,646705000,799838000,371566000
P31151,S10A7_HUMAN,S100A7,Protein S100-A7,2507460,13847400,NA,NA,NA,NA,5761440,NA,6839470,5815620,3496560,25980800,8284800,5830840,12758000,5333870,6892610,7198810,7374760,11193500,5663420,9422500,5623240,7852160,4065690,9282170,904675000,49288500,7203820,NA,NA,14920200,11201400,12876800,25744200,10308700,6346430,9070080,4134620,11736700
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,55618900,45957600,56278400,50174500,56066800,38943600,48629300,45415100,58893100,42153000,48656600,36907200,65504200,48262800,49499000,36617000,59293100,41801700,52666900,43664000,48178100,47260300,61832800,42634500,65865300,39428400,42645900,28804500,51280500,37039300,66972400,45768000,69964000,53805900,77920900,53675100,56356900,52313400,51892600,33902900
P31321,KAP1_HUMAN,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit,NA,423551,646659,935579,1049800,2072720,592062,914707,597924,1048740,1179420,1321070,NA,NA,348177,1098190,1314040,1748440,933877,1128820,658412,1036300,438669,373463,516875,878816,1555160,2103310,869796,NA,NA,537015,NA,793587,NA,307258,300014,534598,2737830,2900170
P31323,KAP3_HUMAN,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,28152100,37799700,26000900,91616800,28332000,51621000,24421700,37122500,26793300,32150400,24711300,31350800,47276600,41864300,57108500,48587700,85238800,60181800,23692300,46681700,19412700,32441400,45247300,48950500,71711200,51096500,63617900,52202500,64657000,72582000,70203000,54901600,56899200,64848900,29335500,23743600,61544100,61285500,86544900,67791400
P31327,CPSM_HUMAN,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",296108,833516,263352,544106,506056,786272,586166,967312,581214,975618,630937,1195300,1299860,923558,572371,1220300,289119,253899,317581,694706,577336,597174,676998,908678,435851,1101970,267357,739733,766333,NA,NA,732440,705045,1502370,1677270,1610390,804443,1322330,488920,518072
P31431,SDC4_HUMAN,SDC4,Syndecan-4,1724000,6621010,1185670,8821040,2372530,5706270,810555,4634150,1246220,5451890,987827,2421260,637664,5035780,745981,3812350,802756,2449420,1177750,4126800,696837,1525980,NA,8775200,783609,3457380,697158,2680320,847566,3415250,NA,12101600,2370240,6249400,1339530,10865000,1586980,3659410,1683010,4916800
P31483,TIA1_HUMAN,TIA1,Cytotoxic granule associated RNA binding protein TIA1,5524590,22246900,6599710,11753200,5427860,6862930,5171630,13601200,7115980,14602500,8509840,10356500,6709640,17017300,7361010,14266600,7491740,13932700,7802910,10310800,7972700,11495900,10982700,12770900,7209700,25928500,8116870,20179900,7126700,9196150,7665680,24108800,7542500,17528400,8221870,17503600,4135680,25401500,6109200,17357200
P31644,GBRA5_HUMAN,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5,NA,70397.9,NA,NA,NA,38877.7,NA,48644.5,NA,30547.6,NA,NA,NA,66601.4,NA,66356.7,NA,99297.7,NA,26907.7,NA,64264.7,NA,NA,NA,203502,NA,74577.7,NA,NA,NA,NA,NA,94649.5,NA,56437.6,NA,81110.5,NA,78439.1
P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter,NA,NA,NA,NA,NA,443201,NA,167152,NA,326407,NA,375155,NA,247166,NA,NA,NA,NA,NA,240014,NA,234922,NA,NA,NA,418758,NA,203217,NA,NA,NA,182465,NA,289321,NA,150917,NA,NA,NA,222858
P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,2229440,35072700,2440820,21221200,3225470,19082400,2630640,20565600,4096630,21561900,3202890,18530700,4229540,27453600,1903630,23039000,1962180,14287400,2938880,18875400,2774040,24987800,1603790,16812100,2863560,20863800,6235090,18138900,2567480,4396290,1521010,18327400,2204900,27675700,3902690,22954200,2366270,18366900,2434560,14671300
P31749,AKT1_HUMAN,AKT1,RAC-alpha serine/threonine-protein kinase,NA,NA,NA,NA,NA,235318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485810,876310
P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase,NA,NA,NA,69150.4,NA,107826,NA,101968,44552.9,80162.2,129666,129933,NA,NA,NA,NA,NA,NA,NA,110927,NA,NA,NA,NA,NA,49480.6,247629,116642,62932.9,NA,NA,NA,NA,NA,NA,13874,NA,61062.9,182570,117171
P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",1995440,74136200,2514800,46519800,1782720,66086100,1894720,38954700,2076220,64316400,3203680,76823200,2171690,170013000,2035630,67738400,3248210,71271500,1540840,88823400,1306630,72125300,3597760,27818700,4287740,119914000,7237960,79116000,3372290,63454200,4446460,19176600,3967610,115070000,4068790,32506000,3949030,72214100,8332700,109546000
P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",35344900,117506000,67189900,157496000,48616600,114232000,40735300,80215200,52749300,116313000,46287900,83526200,63642000,209529000,41206700,92779200,54944500,113243000,43756500,79124800,47630300,76851000,62527700,106423000,38972800,150444000,28480800,157917000,43054200,252322000,127213000,136896000,68313700,220552000,69509300,154982000,55410700,156327000,45650900,78990100
P31939,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein ATIC,8764030,10944000,24577700,21122300,38628200,33898400,16581300,15610200,31820200,24562700,34748800,23016700,6148130,9352530,30901200,29396700,19703400,19151400,35189100,30480900,16747400,17463800,13674000,10862000,18043500,19652500,34762300,25899400,32043700,20676000,15266300,11467200,7278430,10025000,4467770,5068970,8580570,9904920,50315300,28942100
P31942,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,NA,3490740,1071750,8068180,2087670,4952480,1209610,8817970,1386090,9519510,2087050,9968250,1078280,5423910,811327,14782500,1289610,5666380,2198830,12093800,1387030,8088800,NA,3607410,NA,2017380,4117390,8327500,1480530,7438150,NA,5075350,1738680,4752660,1320310,2869480,460357,3350660,4649420,12753700
P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,1263390,10241900,5342120,15448600,7883420,12778000,5799550,20853100,5990910,18337900,8479540,21565600,2026940,10056000,6678540,31848900,9930100,18106300,7959930,23691100,7368890,20746700,9433940,16777700,4429520,10162300,26604400,27101800,11646200,17286800,3446520,13101300,2870940,9625080,3068680,4508410,3003510,10183800,22338900,37491700
P31944,CASPE_HUMAN,CASP14,Caspase-14,623515,3685890,NA,2370600,808724,908099,2934010,1006440,1063830,1362310,1163800,4346320,725425,1985940,4063320,NA,2341840,1497400,1502310,2181350,2417960,2604620,1956120,1477040,828854,1877780,17366400,1490490,1206970,NA,836092,2672130,1104090,3752250,3249450,1348670,NA,1468620,NA,1015170
P31946,1433B_HUMAN,YWHAB,14-3-3 protein beta/alpha,173508000,231151000,196686000,259203000,347321000,279039000,180386000,227664000,411301000,296566000,384192000,313473000,116813000,214678000,412430000,359697000,242385000,285073000,323991000,313029000,335141000,310713000,142415000,216129000,333822000,326718000,404658000,344532000,422139000,278608000,276594000,290724000,99430200,208288000,53240100,119817000,131718000,192519000,411611000,354913000
P31947,1433S_HUMAN,SFN,14-3-3 protein sigma,3136020,1568770,1698230,NA,NA,NA,4619790,2679010,1533700,NA,3134220,2901240,NA,NA,2989250,NA,3193650,2985250,NA,5616080,2310590,NA,2759540,3874050,2453020,NA,196492000,3725930,3750850,7278200,1996860,NA,1491820,NA,1565120,NA,1676900,NA,2765860,1015050
P31948,STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,130271000,187299000,183054000,176447000,132441000,125554000,137571000,142420000,180502000,145054000,163458000,141305000,226559000,192310000,131789000,120040000,146988000,117529000,128300000,133492000,144637000,160745000,171906000,185615000,147331000,159369000,129929000,102698000,134175000,115222000,220992000,214271000,179091000,235870000,202860000,203291000,182507000,186224000,128918000,80063700
P31949,S10AB_HUMAN,S100A11,Protein S100-A11,3263300,5536270,3281630,7946800,4309470,6255680,4794630,10250700,4459510,7923970,4647960,10534600,4195690,3911880,3883880,4949130,2342470,3461710,4137800,11812700,5100350,8275520,3721040,4517620,5562650,5695900,74881000,5224840,6445500,13519900,5226580,7915510,3722500,7934500,3942960,5696020,4434840,6374600,4560300,3834750
P32004,L1CAM_HUMAN,L1CAM,Neural cell adhesion molecule L1,9025170,107425000,14681500,90378400,7386210,77716900,16004100,79283800,9524250,76171500,12170400,85008100,21673300,121728000,4413760,72650700,14448200,77155000,7194460,59330000,25749300,90294400,7522350,42386300,8999520,75059000,4253180,81826700,5904710,80222900,13039700,68758700,27776400,125844000,19278900,61488800,31074400,88197200,5881820,88088800
